date,BYR,USD,EUR,KZT,UAH,AZN,KGS,UZS,GEL
2003-01,16.4252,31.7844,33.2719,20.3925,59.419,,,,
2003-02,16.2562,31.8345,34.429,20.5576,59.4182,,,,
2003-03,15.9887,31.5729,33.9409,20.8194,58.9454,,,,
2003-04,15.6963,31.3801,33.9815,20.6202,58.5471,,,,
2003-05,15.331,31.1021,34.5513,20.4875,57.7205,,,,
2003-06,15.0078,30.709,36.4669,20.4125,56.3882,,,,
2003-07,14.7152,30.3809,34.7223,20.5946,56.4921,,,,
2003-08,14.5704,30.2791,34.3395,20.6358,56.4751,,,,
2003-09,14.5172,30.5036,33.2001,20.6829,56.7055,,,,
2003-10,14.4789,30.6142,35.6043,20.5656,56.7897,,,,
2003-11,14.0383,29.9451,34.7992,20.2923,55.5465,,,,
2003-12,13.8432,29.7387,35.5021,20.2809,55.1687,,,,
2004-01,13.5751,29.4545,37.0979,20.567,54.74,,,,
2004-02,13.1915,28.4937,35.3635,20.4323,52.7896,,,,
2004-03,13.2329,28.5156,35.5076,20.5098,52.939,,,,
2004-04,13.261,28.5151,34.9082,20.5346,52.941,,,,
2004-05,13.4213,28.9612,34.6289,20.9668,54.0129,,,,
2004-06,13.446,28.9993,35.3907,21.172,54.3363,,,,
2004-07,13.4428,29.0471,35.0889,21.3679,54.43,,,,
2004-08,13.4552,29.1019,35.0532,21.3478,54.55,,,,
2004-09,13.5205,29.2591,35.3713,21.4521,54.7267,,,,
2004-10,13.4572,29.2224,36.0312,21.7488,54.3157,,,,
2004-11,13.2084,28.7655,36.6472,21.7885,53.4595,,,,
2004-12,12.8957,28.1496,37.3264,21.6452,52.5728,,,,
2005-01,12.7492,27.7487,37.8409,21.3438,51.2337,,,,
2005-02,12.9161,28.1136,36.5899,21.6228,52.8382,,,,
2005-03,12.8099,27.7007,36.72,21.2837,52.2822,,,,
2005-04,12.9155,27.8548,36.0274,21.0235,53.2108,,,,
2005-05,12.8987,27.7726,36.0072,21.1391,54.6974,,,,
2005-06,13.1016,28.1946,34.9134,21.324,55.5559,,,,
2005-07,13.3038,28.6282,34.6258,21.209,56.7558,,,,
2005-08,13.3166,28.6341,34.716,21.0728,56.852,,,,
2005-09,13.2644,28.5566,34.879,21.1038,56.5612,,,,
2005-10,13.2558,28.5348,34.3074,21.3347,55.9429,,,,
2005-11,13.2476,28.503,34.3946,21.2574,55.4059,,,,
2005-12,13.3818,28.7792,33.9393,21.4631,56.6375,,,,
2006-01,13.3634,28.7825,34.185,21.5337,56.7232,,,,
2006-02,13.0756,28.1305,34.0492,21.3002,54.9284,,,,
2006-03,13.0665,28.1211,33.3291,21.5807,55.0315,,,,
2006-04,12.8746,27.6996,33.6273,21.5729,54.2258,,,,
2006-05,12.6848,27.2739,34.1906,21.917,53.7279,,,,
2006-06,12.5603,26.9355,34.7064,22.2155,53.8301,,,,
2006-07,12.5715,26.9423,34.2383,22.7707,53.4824,,,,
2006-08,12.5158,26.8197,34.2112,22.661,53.2,,,,
2006-09,12.478,26.7295,34.318,21.3213,52.9098,,,,
2006-10,12.5052,26.7799,33.9783,21.0492,52.9896,,,,
2006-11,12.5036,26.7811,33.9852,20.9511,52.8414,,,,
2006-12,12.2874,26.3081,34.6899,20.5628,52.0303,,,,
2007-01,12.2906,26.3311,34.6965,20.7609,52.1987,,,,
2007-02,12.3467,26.5484,34.3802,21.0323,52.3823,,,,
2007-03,12.1718,26.1481,34.539,21.0008,51.6567,,,,
2007-04,12.1237,26.0113,34.6861,21.0061,51.3966,,,,
2007-05,11.9479,25.6851,35.0653,21.3842,50.8233,,,,
2007-06,12.0492,25.9043,34.8128,21.1337,51.3709,,,,
2007-07,12.0187,25.8162,34.715,21.1011,51.1465,,,,
2007-08,11.8917,25.5448,35.0015,20.6631,50.7778,,,,
2007-09,11.9143,25.6262,35.0233,20.2803,50.9528,,,,
2007-10,11.601,24.9493,35.3457,20.6255,49.5517,,,,
2007-11,11.4575,24.6724,35.6492,20.4098,48.7713,,,,
2007-12,11.3252,24.4171,36.0055,20.202,48.1239,,,,
2008-01,11.3897,24.5462,35.9332,20.3492,48.2357,,,,
2008-02,11.3498,24.4262,36.29,20.3185,47.9001,,,,
2008-03,11.1762,24.0023,36.5099,19.8601,47.0975,,,,
2008-04,10.9442,23.5027,37.0873,19.4725,46.6203,,,,
2008-05,11.0478,23.6588,36.8959,19.6499,47.3583,,,,
2008-06,11.1144,23.7384,36.7827,19.6848,49.3501,,,,
2008-07,11.0143,23.4068,36.971,19.3826,49.6359,,,,
2008-08,11.0752,23.4186,36.5752,19.483,50.1576,,,,
2008-09,11.6368,24.5769,36.2264,20.551,52.8535,,,,
2008-10,12.0046,25.3718,36.4999,21.1555,50.0529,,,,
2008-11,12.8214,27.0981,34.4092,22.6138,45.2767,,,,
2008-12,12.888,27.606,35.7166,22.9333,37.4319,,,,
2009-01,13.3537,29.3916,41.4275,24.2475,38.2952,,,,
2009-02,13.0057,35.4146,45.6636,29.0212,45.564,,,,
2009-03,12.5291,35.7205,45.3543,23.7054,42.0241,,,,
2009-04,11.9462,33.9032,44.8946,22.4651,42.1158,,,,
2009-05,11.6681,32.974,43.9939,21.861,40.6084,,,,
2009-06,11.1214,30.9843,43.378,20.5889,40.5288,,,,
2009-07,10.9368,31.0385,43.8512,20.6222,40.5732,,,,
2009-08,10.931,31.1533,43.9978,20.6683,38.7961,,,,
2009-09,11.2667,31.8397,45.4321,21.1097,37.6578,,,,
2009-10,10.8531,30.0087,43.8877,19.8812,36.0898,,,,
2009-11,10.5863,29.0488,43.0678,19.2676,35.3392,,,,
2009-12,10.4451,29.0687,43.7658,19.5486,36.2679,,,,
2010-01,10.5395,30.1851,43.4605,20.3239,37.497,,,,
