name,description,key_skills,experience_id,premium,employer_name,salary_from,salary_to,salary_gross,salary_currency,area_name,published_at
Разработчик JavaScript (Node.js Back-end),"<p>OneTwoTrip — самый высокотехнологичный сервис путешествий. Ежедневно на нашем сайте и в мобильном приложении десятки миллионов поисковых запросов превращаются в десятки тысяч путешествий. Более 2,5 млн. человек — наши клиенты.</p> <p>Наш сервис функционален, прост и удобен в использовании. Мы создаем уникальные предложения, собирая в реальном времени комбинации из авиабилетов и отелей, и легко комбинируем рейсы разных авиакомпаний, включая лоукостеры. Купить билет на Сапсан в нашем приложении можно за 1 минуту. Сервис находит, выписывает и бронирует лучшие варианты, принимает оплату картами, Apple Pay и оказывает круглосуточную поддержку по всем современным средствам связи, включая мессенджеры.</p> <p>Наша команда непрерывно работает над качеством и скоростью поиска, чтобы путешественники находили лучшие варианты и цены на отели, авиа и ж/д билеты, туры и другие продукты.<br />Мы всегда ищем талантливых и амбициозных специалистов и руководителей. Приходите к нам работать и рекомендуйте друзьям!</p> <p>Наша система построена на стеке Nginx/React/Node.js/Riak/Redis. <strong>OneTwoTrip это настоящий высоконагруженный проект, участвовать в котором мы доверяем лучшим профессионалам своего дела.</strong></p> <p> </p> <p><strong>Основные задачи:</strong></p> <ul> <li>Разработка нового и поддержка текущего функционала системы</li> </ul> <p> </p> <p><strong>Что мы ожидаем от Вас:</strong></p> <ul> <li>Опыт разработки на JavaScript</li> <li>Опыт разработки серверных приложений в среде Unix на каком-либо языке (python, ruby, php, nodejs)</li> <li>Понимание принципов построения масштабируемых систем, основные проблемы, пути решения</li> </ul> <p> </p> <p><strong>Мы предлагаем:</strong></p> <ul> <li>ДМС</li> <li>Бонусы и премии за результат: мы любим строить смелые планы и еще больше любим воплощать их</li> <li>Интересные и амбициозные задачи</li> <li>Неограниченный профессиональный рост и возможность работать с технической системой мирового уровня</li> <li>Ресурсы на реализацию смелых идей, идущих на пользу сервису</li> <li>Работу по гибкому графику в одном из лучших офисов Москвы рядом с метро «Проспект мира», «Цветной Бульвар», «Достоевская»</li> <li>Посещение профильных мероприятий, библиотека с хорошими книгами и обмен опытом с интересными людьми</li> </ul> <p>А ещё вы будете работать в отличной команде, участвовать в необычных тимбилдингах и веселиться на пятничных вечеринках.</p> <p>И конечно же в офисе всегда есть вкусный бесплатный кофе и утренние фрукты :)</p>","JavaScript
Node.js",between1And3,False,OneTwoTrip,120000.0,200000.0,True,RUR,Москва,2017-07-01T20:06:27+0300
Frontend - разработчик,"<p><strong>Frontend</strong><strong> - разработчик</strong></p> <p> </p> <p><strong>Мы занимаемся:</strong></p> <ul> <li>Компания Mircod занимается разработкой электронных устройств и программного обеспечения для мобильных, веб и десктопных платформ.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Отличные знания JavaScript, HTML5, CSS от 2х лет</li> <li>SASS или LESS</li> <li>Bootstrap</li> <li>JSON</li> <li>Использование распределенных систем контроля версий (GIT);</li> <li>Понимание принципов кроссбраузерной разработки</li> <li>Разработка новый сайтов согласно дизайну</li> <li>Поддержка существующих сайтов</li> <li>Поисковое продвижение</li> </ul> <p><strong>Приветствуется</strong><strong>:</strong></p> <ul> <li>PHP</li> <li>Ruby on Rails</li> <li>Node.js</li> <li>Python</li> </ul> <p><strong>Мы предлагаем</strong><strong>:</strong></p> <ul> <li>Белая заработная плата, оформление по ТК</li> <li>Полный рабочий день</li> <li>Работа из офиса в центре Казани (5 мин. от ст. Кремлёвская)</li> <li>Молодой дружный коллектив</li> <li>Заработная плата по результатам собеседования с возможностью роста</li> </ul>","JSON API
Git
HTML5
JavaScript
CSS3
Less
Sass
Bootstrap
PHP",between1And3,False,Mircod,70000.0,100000.0,False,RUR,Казань,2017-07-06T20:16:49+0300
PHP-разработчик,"<p><strong>PHP разработчик</strong></p> <p> </p> <p>Мы - компания ILAR Technology - ищем опытных разработчиков для реализации и поддержки проектов на 1С-Bitrix, Wordpress. В нашем коллективе трудятся программисты, влюбленные в свою профессию. У нас много интересных проектов, поэтому прямо сейчас в нашу команду требуются амбициозные PHP-разработчики.</p> <p> </p> <p><strong>ЧТО ТРЕБУЕТСЯ ОТ ТЕБЯ:</strong></p> <ul> <li>Опыт работы с 1С-Bitrix, Wordpress</li> <li>Опыт программирования и веб-разработки с использованием PHP от 2х лет</li> <li>Понимание принципов ООП;</li> <li>Знание основ Unix/Linux</li> <li>Знание основ HTML/CSS, JavaScript, jQuery</li> <li>Знание СУБД MySQL и особенностей её работы (знание других СУБД будет плюсом)</li> <li>Опыт работы в команде</li> <li>Умение работать с чужим кодом и способность писать понятный код</li> <li>Опыт работы с системами контроля версий (мы используем Git)</li> <li>Ответственный подход к работе, желание развиваться, любовь к современным технологиям в web-разработке</li> <li>Умение рассчитывать сроки выполнения задач</li> </ul> <p> </p> <p><strong>ЧТО НУЖНО БУДЕТ ДЕЛАТЬ У НАС В КОМПАНИИ:</strong></p> <ul> <li>Разрабатывать проекты различной сложности: от корпоративных сайтов до высоконагруженных сервисов;</li> <li>Поддерживать существующие проекты;</li> <li>Общаться с коллегами. Коммуникация - наше всё!</li> <li>Ну и самое главное: предстоит писать много качественного, хорошего кода.</li> </ul> <p> </p> <p><strong>Условия работы</strong></p> <ul> <li>5 дневная рабочая неделя (в выходные работа не допускается);</li> <li>Рабочий день начинается в 9 и заканчивается в 18;</li> <li>Официальное трудоустройство, белая зарплата.</li> </ul> <p> </p> <p><strong>В офисе</strong></p> <ul> <li>Работа в центре Казани е в 5 минутах пешком от станции метро Площадь Тукая;</li> <li>Перерыв на обед в течение часа в промежутке с 12 до 16;</li> <li>Рабочее место, оборудованное столом, стулом и компьютером iMac или аналог на Windows&#39;е;</li> <li>Кофе крепкий;</li> <li>Чай в пакетиках;</li> <li>Вода в кулере;</li> <li>Веселый коллектив (по крайней мере - мы так думаем)</li> </ul> <p> </p> <p><strong>Про офис</strong></p> <ul> <li>Рядом находится озеро Кабан;</li> <li>В офисе сидит молодой коллектив;</li> <li>Зимой тепло, летом — встречаем закаты,</li> <li>Офис вошел в обзоры красивых офисов от издания Enter</li> </ul>","1С-Битрикс
HTML
CSS
MySQL
CMS Wordpress
PHP
SQL
Git",between1And3,False,Илар Групп,40000.0,65000.0,False,RUR,Казань,2017-07-21T17:27:12+0300
Web-программист,<strong>Обязанности:</strong> <ul> <li>доработка web фнкционала на python</li> <li>написание addon для CMS на php</li> <li>работа с передачей данных посредством json</li> <li>контроль регламентных задач cron</li> </ul> <strong>Требования:</strong> <ul> <li>знания python / django</li> <li>знания php</li> <li>знания json</li> <li>nginx</li> <li>UNIX*</li> </ul> <strong>Условия:</strong> <ul> <li>работа с 9:00 до 18:00</li> <li>рабочие дни Пн - Пт</li> </ul>,"Unix
Unix Shell Scripts
Python
PHP
MySQL
JavaScript
Nginx",moreThan6,False,Патрон Сервис Крым,30000.0,60000.0,True,RUR,Симферополь,2017-07-24T09:00:39+0300
Web-программист,"<strong>Обязанности:</strong> <ul> <li>Верстка и сборка проектов, программирование функциональных модулей систем управления и доработка функционала систем.</li> </ul> <strong>Требования:</strong> <ul> <li>Знание PHP, JavaScript, html, CSS. Умение разбираться в работе систем управления.</li> <li>Приветствуется знание 1С Битрикс и опыт работы.</li> <li>Желателен опыт разработки мобильных приложений, nodeJS</li> </ul> <strong>Условия:</strong> <ul> <li>Слаженный коллектив, стабильная зарплата, стабильная загрузка интересными проектами.</li> <li>Офис на северо-западе с зерновым вкусным кофе, чаем, газировкой и печеньками за счет компании.</li> <li>Официальное трудоустройство.</li> <li>Оклад + премия.</li> </ul>",1С-Битрикс,between1And3,False,Всевсеть,40000.0,60000.0,False,RUR,Челябинск,2017-07-24T16:17:05+0300
Junior project manager (producer) / ассистент,"<p><strong>Junior project manager (producer) / ассистент / помощник / стажер</strong></p> <p> </p> <p>В веселый дружный коллектив digital-агентства <strong>RVR Project</strong>, требуется начинающий project manager (producer) c обязательным желанием развиваться в сфере интернет-технологий, коммуникаций, рекламы, и всего такого прочего. Или просто бодрый, активный, энергичный, грамотный ассистент, который хочет научиться чему-то новому, и готов помогать нам с различными внутренними и проектными задачами.</p> <p>Мы гарантируем большой объем разноплановых задач и максимальную помощь в их решении. Первые пару раз. А дальше — по аналогии.</p> <p>В зависимости от внутренней природной предрасположенности и успехов в работе, у нас можно прокачаться и развиться в крутого digital-специалиста cо стремительным карьерным ростом в какой-то узкой специализации. Или широкой, как сложится ;)</p> <p><strong>Обязанности:</strong></p> <ul> <li>Решение различных задач в рамках проектов по разработке и поддержке сайтов и приложений, SEO, SMM, SERM, ORM, контекстной, медийной и таргетированной рекламе</li> <li>Подготовка презентаций и коммерческих предложений</li> <li>Составление смет и таймлайнов</li> <li>Разработка технических заданий и прототипов</li> <li>Мониторинг поисковых систем, социальных сетей, форумов и блогов</li> <li>Оценка тональности комментариев</li> <li>Ответы и комментарии в социальных сетях и на форумах</li> <li>Создание и размещение контента на сайтах и форумах, в социальных сетях и блогах</li> <li>Аналитика, статистика</li> <li>Работа с различными сервисами</li> <li>Подготовка отчетов и данных для них</li> <li>И еще длиннющий список возможных задач и процессов</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Активность и энергичность</li> <li>Внимательность, организованность и исполнительность</li> <li>Обучаемость</li> <li>Желание учиться и развиваться</li> <li>Грамотная устная и письменная речь</li> <li>Умение пользоваться интернетом и поисковиками</li> <li>Знание социальных сетей</li> <li>Владение стандартным пакетом офисных программ</li> <li>Чувство юмора</li> <li>Любовь к прекрасному</li> </ul> <p><strong>Плюсами будет:</strong></p> <ul> <li>Владение графическими или видео редакторами</li> <li>Опыт в любом из направлений нашей деятельности</li> <li>Навыки работы с какими-либо CMS (лучше Bitrix)</li> <li>Знания HTML/CSS</li> <li>Наличие вкуса и чувства стиля</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Агентство на этапе развития</li> <li>График работы: 5/2</li> <li>Обучение, тренинги, семинары, конференции</li> <li>Испытательный срок от месяца до трех</li> <li>Трудоустройство по ТК РФ</li> <li>Адрес: Москва, Кутузовский проезд, (Парк Победы, Фили)</li> <li>Тип занятости: полная занятость (хотя, можем рассмотреть и частичную, если Вы нас впечатлите)</li> <li>Кофе, чай, печеньки, апельсины</li> </ul>","Русский язык
Грамотная речь
Грамотность
Пользователь ПК
Работа в команде
Деловое общение
Деловая переписка
Поиск информации в интернет
Internet
Написание текстов
MS Excel
Исполнительность
Ответственность
Adobe Photoshop
Adobe Illustrator
CorelDRAW
1С-Битрикс
Социальные сети
Обработка видео
SMM
Чувство юмора
Adobe After Effect
Final Cut",noExperience,False,Энтерпрайз,20000.0,35000.0,False,RUR,Москва,2017-07-26T14:32:16+0300
Frontend-разработчик,"<p>В молодую IT-компанию и на внутренний проект компании требуется frontend-разработчик.</p> <p>Работу возможно совмещать с обучением в университете.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Разработка клиентской части web-приложений</li> <li>Программирование JavaScript</li> <li>Верстка HTML5/CSS3</li> </ul> <p> </p> <p><strong>Требования:</strong></p> <ul> <li>Уверенное знание Javascript</li> <li>Уверенное знание и понимание HTML, CSS</li> <li>Знание особенности работы браузеров</li> <li>Опыт кроссбраузерной верстки</li> <li>Умение использовать AJAX, понимание архитектуры клиент-сервер</li> <li>Умение работать с Git</li> <li>Знание английского языка на уровне чтения технической литературы и документации</li> <li>Умение оценивать время разработки</li> </ul> <p><strong>Большим плюсом будет:</strong></p> <ul> <li>Опыт разработки с использованием JS фреймфорков (Angular.js, React.js, ...)</li> <li>Если вы интересуетесь новыми технологиями фронтенда</li> <li>Наличие профиля на Github с OpenSource наработками</li> <li>Наличие базовых навыков работы в команде</li> </ul> <p> </p> <p><strong>Условия:</strong></p> <ul> <li>20-30 часовая рабочая неделя</li> <li>Гибкий график</li> <li>Возможность выполнять часть задач удаленно</li> <li>Молодой коллектив</li> <li>Кофе-машина</li> </ul> <p>​​​​</p>","JavaScript
HTML
CSS
Git
HTML5
Ajax
AngularJS",between1And3,False,Гладс Групп,30000.0,70000.0,True,RUR,Москва,2017-07-28T13:27:18+0300
Web-разработчик (CMS),"<p>Ищем CMS-гуру, который хорошо знает 1С-Битрикс, Wordpress и не гнушается Joomla или CS-Cart. Мы специализируемся на интернет-магазинах и веб-сервисах, преимущественно самописные системы и CMS Битрикс. Стремимся дать нашим клиентам максимальный уровень клиентского сервиса.</p> <p><strong>Обязанности:</strong></p> <ul> <li> <p>разработка с нуля и поддержка решений на 1C-Битрикс, Wordpress, Joomla, CS-Cart;</p> </li> <li> <p>написание технической документации на разработанные решения и доработка ТЗ (архитектурная часть, не UI);</p> </li> <li> <p>написание и обновление пользовательской документации на проект;</p> </li> </ul> <p><strong>Требования и опыт:</strong></p> <ul> <li> <p>php (middle), mysql, js (junior, middle), git. Плюсом будет знание angular, умение верстать на элементарном уровне и опыт работы в консоле;</p> </li> <li> <p>умение разбираться в технической документации (описание API, инструкции к сервисам и т.п.), в том числе и на английском языке;</p> </li> <li> <p>внимание к мелочам, аккуратность;</p> </li> <li> <p>структурированный, хорошо документированный код;</p> </li> <li> <p>1С-Битрикс на уровне понимания структуры шаблонов и общей архитектуры системы. Сертификаты разработчика битрикса будут плюсом;</p> </li> <li> <p>wordpress на уровне могу написать плагин и натянуть шаблон.</p> </li> </ul> <p><strong>Условия:</strong></p> <ul> <li> <p>удаленная работа, но для соискателей из Нижнего Новгорода возможна работа в офисе;</p> </li> <li> <p>оплата почасовая за непосредственную работу над задачами клиентов, возможно совмещение с основным местом работы;</p> </li> <li> <p>фиксированная ежемесячная оплата при прохождении испытательного срока.</p> </li> </ul>","PHP
JavaScript
MySQL
HTML
CSS
jQuery
Git
1С-Битрикс
CMS Wordpress
Joomla CMS
CS-Cart",between1And3,False,Чили.Лаб,20000.0,70000.0,False,RUR,Нижний Новгород,2017-08-01T18:26:26+0300
UX/UI-дизайнер,"<p>Ищем UX/UI-дизайнера на постоянную работу в офис.</p> <p> </p> <p>Компания – система умного дома: один продукт, одна команда. Сами производим устройства, сами строим экосистему вокруг них.</p> <p>Налажены продажи по всей России, сервисные центры и служба поддержки.</p> <p> </p> <p><strong>Кто нам нужен:</strong></p> <ul> <li>Нужен человек с опытом и продуктовой экспертизой.</li> <li>Нужно будет развивать текущую версию приложения под iOS и Android, строить гипотезы, проводить исследования и доказывать свои решения. Результатом каждого спринта вашей работы будет кликабельный прототип.</li> </ul> <p> </p> <p><strong>Ключевые вещи, которые нам важны: </strong></p> <ul> <li>Опыт проектирования современных продуктов</li> <li>Сильное портфолио</li> <li>Знание Sketch, программ для прототипирования и анимации, iOS и Android гайдов</li> <li>Опыт создания сайтов — большой плюс (но не обязательно)</li> <li>Самостоятельность, гибкость, пунктуальность, ответственность, стрессоустойчивость</li> </ul> <p> </p> <p><strong>Условия:</strong></p> <ul> <li>Интересный продукт — (похожие проекты: HomeKit от Apple, Nest от Google, Smart Things от Samsung, Lifecontrol от Мегафона)</li> <li>Возможности для профессионального и карьерного роста</li> <li>Оформление согласно ТК РФ, белая заработная плата</li> <li>Комфортный и современный офис в стиле лофт, ст. м. Павелецкая, Дербеневская набережная (Деловой квартал «Новоспасский»)</li> <li>Уютная кухня с чаем и кофе</li> <li>Свободный стиль одежды</li> <li>В общем, у нас довольно классненько</li> </ul> <p> </p> <p>Пожалуйста, присылайте примеры работы с рассказом о себе для начала разговора.</p>","Sketch
Invision
Principle for Mac
Flinto
Framer
Figma
Adobe After effects",between3And6,False,Anywayanyday,120000.0,160000.0,False,RUR,Москва,2017-08-02T09:37:47+0300
Помощник веб-программиста,"<p><strong>Консалтинговая компания в связи с растущим объемом заказов примет на работу помощника руководителя отдела web-разработки </strong></p> <p> </p> <p><strong>Обязанности:</strong></p> <ul> <li>Поддержка сайтов, верстка, наполнение контентом, оптимизация сайтов</li> <li>Разработка на PHP/MySQL/JS</li> <li>Доработка, на базе имеющихся, программных модулей CMS для интернет-сайтов различного уровня сложности</li> <li>Работа с CRM системой Битрикс24, работа с rest api Битрикс</li> </ul> <p> </p> <strong>Требования:</strong> <ul> <li>Знания HTML (5), CSS (3), Less. Опыт работы в редакторах исходного кода;</li> <li>Умение писать чистый и короткий, семантичный код CSS/HTML;</li> <li>Опыт работы с Bootstrap 3 и адаптивной версткой;</li> <li>Базовые знания и опыт работы с – JavaScript, Jquery, Php;</li> <li>Опыт работы c популярными CMS;</li> <li>Базовые знания SEO оптимизации;</li> <li>Базовые знания Adobe (Photoshop, Illustrator, InDesign, Premier, Acrobat);</li> <li>Понимание или опыт работы с базами данных и облачными серверами;</li> <li>Ответственность, хорошие коммуникативные навыки;</li> <li>Стремление к высокому качеству работ, внимание к деталям, аккуратность, скрупулезность;</li> <li>Быстрая ориентация в новых программных продуктах на уровне администратора;</li> <li>Самообучаемость, желание обучаться новому в сфере web-программирования.</li> </ul> <p> </p> <strong>Условия:</strong> <ul> <li>Интересная работа</li> <li>Обучение</li> <li>Перспектива карьерного и финансового роста</li> </ul>","CRM
HTML
PHP
SEO оптимизация
jQuery
CSS
CMS Wordpress
Adobe Photoshop
Adobe Illustrator
MySQL",between1And3,False,Profit Lab,25000.0,40000.0,False,RUR,Красноярск,2017-08-03T01:44:27+0300
